xd,yd,jiaodu2
82,87,240
198,372,303
218,369,307
148,412,287
547,73,13
78,397,194
102,321,202
77,364,205
46,362,204
97,337,203
66,337,202
83,346,204
76,359,205
520,324,344
138,83,136
88,71,147
523,383,325
477,347,323
175,157,149
180,237,163
420,268,352
225,150,137
146,137,158
195,167,159
448,259,345
485,166,15
470,361,332
223,146,134
351,347,301
479,201,344
247,353,267
228,127,158
272,325,285
450,159,34
307,195,203
139,320,207
450,218,21
416,176,29
471,160,27
496,95,32
505,106,31
90,273,198
510,120,21
118,181,174
423,297,326
88,243,165
491,118,17
169,337,213
338,99,52
471,365,296
171,122,141
462,331,325
198,120,142
353,322,308
320,96,99
226,307,245
406,148,42
205,282,212
